date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:32:37	92532/92532	---M--	200	added ('OK')	image/jpeg	etag:%22802598e88968d41:0%22	https://mwc.com.vn/FolderUpload/3725/TB2B7Vihl0kpuFjSsziXXa.oVXa_2117485391.jpg	D:/Data/Projects/E-commerial/E-commerial/mwc.com.vn/FolderUpload/3725/TB2B7Vihl0kpuFjSsziXXa.oVXa_2117485391.jpg	(from http://mwc.com.vn/products/giay-cao-got-mwc-nucg--3725?c=%c4%90%e1%bb%8e)
20:32:37	337670/337670	---M--	200	added ('OK')	image/jpeg	etag:%22f37bce88968d41:0%22	https://mwc.com.vn/FolderUpload/3725/TB2DsU_CN9YBuNjy0FfXXXIsVXa_4014911058.jpg	D:/Data/Projects/E-commerial/E-commerial/mwc.com.vn/FolderUpload/3725/TB2DsU_CN9YBuNjy0FfXXXIsVXa_4014911058.jpg	(from http://mwc.com.vn/products/giay-cao-got-mwc-nucg--3725?c=%c4%90%e1%bb%8e)
20:32:37	235744/235744	---M--	200	added ('OK')	image/jpeg	etag:%22228afde88968d41:0%22	https://mwc.com.vn/FolderUpload/3725/TB2nQE5CKuSBuNjSsziXXbq8pXa_4014911058.jpg	D:/Data/Projects/E-commerial/E-commerial/mwc.com.vn/FolderUpload/3725/TB2nQE5CKuSBuNjSsziXXbq8pXa_4014911058.jpg	(from http://mwc.com.vn/products/giay-cao-got-mwc-nucg--3725?c=%c4%90%e1%bb%8e)
20:32:38	341410/341410	---M--	200	added ('OK')	image/jpeg	etag:%2215261de98968d41:0%22	https://mwc.com.vn/FolderUpload/3725/TB2rQn9ikOWBuNjSsppXXXPgpXa_2984130689.jpg	D:/Data/Projects/E-commerial/E-commerial/mwc.com.vn/FolderUpload/3725/TB2rQn9ikOWBuNjSsppXXXPgpXa_2984130689.jpg	(from http://mwc.com.vn/products/giay-cao-got-mwc-nucg--3725?c=%c4%90%e1%bb%8e)
20:32:38	251146/251146	---M--	200	added ('OK')	image/jpeg	etag:%22ebec3ae98968d41:0%22	https://mwc.com.vn/FolderUpload/3725/TB2sLPHibSYBuNjSspiXXXNzpXa_2984130689.jpg	D:/Data/Projects/E-commerial/E-commerial/mwc.com.vn/FolderUpload/3725/TB2sLPHibSYBuNjSspiXXXNzpXa_2984130689.jpg	(from http://mwc.com.vn/products/giay-cao-got-mwc-nucg--3725?c=%c4%90%e1%bb%8e)
20:32:38	273638/273638	---M--	200	added ('OK')	image/jpeg	etag:%2257bc68e98968d41:0%22	https://mwc.com.vn/FolderUpload/3725/TB2TtD0uvuSBuNkHFqDXXXfhVXa_4014911058.jpg	D:/Data/Projects/E-commerial/E-commerial/mwc.com.vn/FolderUpload/3725/TB2TtD0uvuSBuNkHFqDXXXfhVXa_4014911058.jpg	(from http://mwc.com.vn/products/giay-cao-got-mwc-nucg--3725?c=%c4%90%e1%bb%8e)
20:32:38	91056/91056	---M--	200	added ('OK')	image/jpeg	etag:%2251d186e98968d41:0%22	https://mwc.com.vn/FolderUpload/3725/TB2ur8dbGSWBuNjSsrbXXa0mVXa_200996316.jpg	D:/Data/Projects/E-commerial/E-commerial/mwc.com.vn/FolderUpload/3725/TB2ur8dbGSWBuNjSsrbXXa0mVXa_200996316.jpg	(from http://mwc.com.vn/products/giay-cao-got-mwc-nucg--3725?c=%c4%90%e1%bb%8e)
20:32:43	91775/91775	---M--	200	added ('OK')	text/html	date:Fri,%2009%20Nov%202018%2013:32:41%20GMT	http://mwc.com.vn/products/giay-cao-got-mwc-nucg--3725?c=%C4%90EN	D:/Data/Projects/E-commerial/E-commerial/mwc.com.vn/products/giay-cao-got-mwc-nucg--3725692e.html	(from http://mwc.com.vn/products/giay-cao-got-mwc-nucg--3725?c=%c4%90EN)
20:32:43	158780/158780	---M--	200	added ('OK')	image/jpeg	etag:%22e4daaae98968d41:0%22	https://mwc.com.vn/FolderUpload/3725/TB2wTy7X67nBKNjSZLeXXbxCFXa_200996316.jpg	D:/Data/Projects/E-commerial/E-commerial/mwc.com.vn/FolderUpload/3725/TB2wTy7X67nBKNjSZLeXXbxCFXa_200996316.jpg	(from http://mwc.com.vn/products/giay-cao-got-mwc-nucg--3725?c=%c4%90%e1%bb%8e)
20:32:43	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2009%20Nov%202018%2013:32:42%20GMT	https://mwc.com.vn///Upload/2018/10/tb2ur8dbgswbunjssrbxxa0mvxa-200996316.jpg	D:/Data/Projects/E-commerial/E-commerial/mwc.com.vn/Upload/2018/10/tb2ur8dbgswbunjssrbxxa0mvxa-200996316.d04.delayed	(from http://mwc.com.vn/products/giay-cao-got-mwc-nucg--3725?c=%c4%90EN)
20:32:44	27970/27970	---M--	200	added ('OK')	image/jpg	date:Fri,%2009%20Nov%202018%2013:32:42%20GMT	http://img.mwc.com.vn/giay-thoi-trang?&w=600&h=600&FileInput=//Upload/2018/10/tb2ur8dbgswbunjssrbxxa0mvxa-200996316.jpg	D:/Data/Projects/E-commerial/E-commerial/img.mwc.com.vn/mwc36b4.jpg	(from http://mwc.com.vn/products/giay-cao-got-mwc-nucg--3725?c=%c4%90EN)
20:32:45	93943/93943	---M--	200	added ('OK')	text/html	date:Fri,%2009%20Nov%202018%2013:32:44%20GMT	http://mwc.com.vn/products/giay-cao-got-mwc-nucg--3724?c=%C4%90EN	D:/Data/Projects/E-commerial/E-commerial/mwc.com.vn/products/giay-cao-got-mwc-nucg--3724692e.html	(from http://mwc.com.vn/products/giay-cao-got-mwc-nucg--3724?c=%c4%90EN)
20:32:45	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2009%20Nov%202018%2013:32:44%20GMT	https://mwc.com.vn///Upload/2018/10/tb2ogoxauusbunjssplxxbe8pxa-2888003610.jpg	D:/Data/Projects/E-commerial/E-commerial/mwc.com.vn/Upload/2018/10/tb2ogoxauusbunjssplxxbe8pxa-2888003610.d07.delayed	(from http://mwc.com.vn/products/giay-cao-got-mwc-nucg--3724?c=%c4%90EN)
20:32:48	4424/4424	---M--	200	added ('OK')	image/jpg	date:Fri,%2009%20Nov%202018%2013:32:46%20GMT	http://img2.mwc.com.vn/giay-thoi-trang?&w=150&h=150&FileInput=//Upload/2018/10/tb2ogoxauusbunjssplxxbe8pxa-2888003610.jpg	D:/Data/Projects/E-commerial/E-commerial/img2.mwc.com.vn/mwc4759.jpg	(from http://mwc.com.vn/products/giay-cao-got-mwc-nucg--3724?c=%c4%90EN)
20:32:48	4519/4519	---M--	200	added ('OK')	image/jpg	date:Fri,%2009%20Nov%202018%2013:32:46%20GMT	http://img2.mwc.com.vn/giay-thoi-trang?&w=150&h=150&FileInput=//Upload/2018/10/44484137-2500255660015059-2603876326095978496-n.jpg	D:/Data/Projects/E-commerial/E-commerial/img2.mwc.com.vn/mwc0e78.jpg	(from http://mwc.com.vn/products/giay-cao-got-mwc-nucg--3724?c=%c4%90EN)
